sector,state,year,month,emissions_tco2,production_tonnes,energy_consumption_mwh,grid_carbon_intensity
steel,Maharashtra,2015,,8186.22104226524,4094100.080408521,14329350.281429823,0.85
steel,Maharashtra,2016,,5215.141546481829,2661538.0865323585,9315383.302863255,0.85
steel,Maharashtra,2017,,8410.856550164852,3846441.0495421016,13462543.673397355,0.85
steel,Maharashtra,2018,,4634.647075098981,2726243.073850999,9541850.758478496,0.85
steel,Maharashtra,2019,,5473.925506265817,2899661.619853202,10148815.669486206,0.85
steel,Maharashtra,2020,,7010.394621689756,3623518.005962077,12682313.02086727,0.85
steel,Maharashtra,2021,,7089.787376725605,3790146.9983710023,13265514.494298508,0.85
steel,Maharashtra,2022,,5385.096833993912,2939676.8910795236,10288869.118778333,0.85
steel,Maharashtra,2023,,10484.384958271738,4736644.762239656,16578256.667838797,0.85
steel,Maharashtra,2020,1.0,605.1515645177449,335625.8678129882,1174690.5373454585,0.8925
steel,Maharashtra,2020,2.0,620.8444618608697,301290.2152363331,1054515.7533271657,0.9236121593216773
steel,Maharashtra,2020,3.0,753.2508489538156,382225.91103170416,1337790.6886109645,0.935
steel,Maharashtra,2020,4.0,722.2351103229611,376836.57461131626,1318928.0111396068,0.9236121593216773
steel,Maharashtra,2020,5.0,733.6097006591914,379504.9465365633,1328267.3128779714,0.8925
steel,Maharashtra,2020,6.0,739.4892211895889,357632.4890256972,1251713.7115899404,0.85
steel,Maharashtra,2020,7.0,746.0142595392008,366219.45634391997,1281768.09720372,0.8075
steel,Maharashtra,2020,8.0,658.7013664557264,328276.71989866765,1148968.5196453368,0.7763878406783227
steel,Maharashtra,2020,9.0,792.450842864804,368691.46204151964,1290420.1171453188,0.765
steel,Maharashtra,2020,10.0,764.4886479787617,373660.62705114274,1307812.1946789995,0.7763878406783227
steel,Maharashtra,2020,11.0,676.9941082174822,374105.3387394376,1309368.6855880315,0.8075
steel,Maharashtra,2020,12.0,562.6129806139055,308644.1532498236,1080254.5363743827,0.85
steel,Maharashtra,2021,1.0,540.0330880680033,259117.75423305485,906912.139815692,0.8925
steel,Maharashtra,2021,2.0,500.7079898390568,267760.8450189728,937162.9575664048,0.9236121593216773
steel,Maharashtra,2021,3.0,618.6643927216658,303088.2393215477,1060808.837625417,0.935
steel,Maharashtra,2021,4.0,716.2976224663091,344094.1533616988,1204329.5367659458,0.9236121593216773
steel,Maharashtra,2021,5.0,740.958865329301,339590.7359187015,1188567.5757154552,0.8925
steel,Maharashtra,2021,6.0,737.1417542939171,346416.8991148426,1212459.146901949,0.85
steel,Maharashtra,2021,7.0,547.1144456910906,295993.2471506131,1035976.365027146,0.8075
steel,Maharashtra,2021,8.0,556.1825837172454,296678.61314164835,1038375.1459957692,0.7763878406783227
steel,Maharashtra,2021,9.0,579.8866056322032,315566.1822512834,1104481.6378794918,0.765
steel,Maharashtra,2021,10.0,525.4615872202596,278944.6903508675,976306.4162280363,0.7763878406783227
steel,Maharashtra,2021,11.0,613.8699260828488,281899.2574668093,986647.4011338325,0.8075
steel,Maharashtra,2021,12.0,609.5274832537372,308248.5702179906,1078869.995762967,0.85
steel,Maharashtra,2022,1.0,711.2796882805045,367063.80727837945,1284723.3254743281,0.8925
steel,Maharashtra,2022,2.0,620.089778744692,325409.83240069036,1138934.4134024163,0.9236121593216773
steel,Maharashtra,2022,3.0,665.0234273382338,333633.507155665,1167717.2750448275,0.935
steel,Maharashtra,2022,4.0,830.3062832079321,386945.6483124245,1354309.7690934858,0.9236121593216773
steel,Maharashtra,2022,5.0,758.491635759186,381205.05520115833,1334217.6932040541,0.8925
steel,Maharashtra,2022,6.0,845.480918196373,406991.4887896417,1424470.210763746,0.85
steel,Maharashtra,2022,7.0,784.2075919358273,362828.1409787503,1269898.493425626,0.8075
steel,Maharashtra,2022,8.0,670.5516694948619,327388.3228863243,1145859.130102135,0.7763878406783227
steel,Maharashtra,2022,9.0,709.7725977550439,322751.2579134951,1129629.402697233,0.765
steel,Maharashtra,2022,10.0,664.9539496690212,353559.2329999235,1237457.3154997323,0.7763878406783227
steel,Maharashtra,2022,11.0,709.9492611305803,381730.9020817912,1336058.1572862691,0.8075
steel,Maharashtra,2022,12.0,635.8409151602225,337359.46987710585,1180758.1445698706,0.85
steel,Maharashtra,2023,1.0,486.2565841915962,252005.18943429785,882018.1630200425,0.8925
steel,Maharashtra,2023,2.0,530.5839949701303,247595.57611632836,866584.5164071493,0.9236121593216773
steel,Maharashtra,2023,3.0,540.9433975979392,273685.8354905941,957900.4242170793,0.935
steel,Maharashtra,2023,4.0,585.2722082610054,272774.58325906814,954711.0414067385,0.9236121593216773
steel,Maharashtra,2023,5.0,531.5840475580117,282123.18463351106,987431.1462172887,0.8925
steel,Maharashtra,2023,6.0,524.4402637288235,274203.98393722094,959713.9437802733,0.85
steel,Maharashtra,2023,7.0,455.8387772773159,243487.8156894923,852207.3549132231,0.8075
steel,Maharashtra,2023,8.0,548.9882149215814,253573.47756939312,887507.1714928759,0.7763878406783227
steel,Maharashtra,2023,9.0,489.41173446294306,270950.82560141466,948327.8896049513,0.765
steel,Maharashtra,2023,10.0,596.4837986355634,274512.4783475194,960793.674216318,0.7763878406783227
steel,Maharashtra,2023,11.0,568.391168023934,289694.6112886343,1013931.13951022,0.8075
steel,Maharashtra,2023,12.0,533.6425513708515,242983.641536728,850442.745378548,0.85
steel,Gujarat,2015,,3091.6020537225363,1525258.6940158498,5338405.429055475,0.8
steel,Gujarat,2016,,2950.034872191279,1449283.221803144,5072491.276311005,0.8
steel,Gujarat,2017,,1929.5910367407334,1002807.4789570803,3509826.176349781,0.8
steel,Gujarat,2018,,9205.649669998578,4832334.583790197,16913171.04326569,0.8
steel,Gujarat,2019,,7294.300518996029,3496659.9177618693,12238309.712166542,0.8
steel,Gujarat,2020,,5946.824639460112,3447049.1803618767,12064672.131266568,0.8
steel,Gujarat,2021,,10278.917442258686,4486789.559275915,15703763.457465703,0.8
steel,Gujarat,2022,,7691.050382842919,4104007.425951235,14364025.990829322,0.8
steel,Gujarat,2023,,3695.1064894881365,1654518.2027355402,5790813.709574391,0.8
steel,Gujarat,2020,1.0,508.8088506329358,270120.35326538584,945421.2364288504,0.8400000000000001
steel,Gujarat,2020,2.0,411.6719955662703,226097.90317141707,791342.6610999597,0.8692820323027551
steel,Gujarat,2020,3.0,559.9296505844318,264322.647309494,925129.2655832289,0.8800000000000001
steel,Gujarat,2020,4.0,602.9740076482128,307928.83610108844,1077750.9263538094,0.8692820323027551
steel,Gujarat,2020,5.0,595.1843564741471,324557.86635654967,1135952.5322479238,0.8400000000000001
steel,Gujarat,2020,6.0,564.3692817225779,269679.39375789114,943877.878152619,0.8
steel,Gujarat,2020,7.0,544.0001902919316,269909.5010729201,944683.2537552203,0.7600000000000001
steel,Gujarat,2020,8.0,596.6734673228219,280300.66279609373,981052.3197863281,0.730717967697245
steel,Gujarat,2020,9.0,517.4337786781306,278821.02181695215,975873.5763593325,0.7200000000000001
steel,Gujarat,2020,10.0,555.1349667273105,293119.33312894,1025917.66595129,0.730717967697245
steel,Gujarat,2020,11.0,549.4636559079094,293602.1530396608,1027607.5356388129,0.76
steel,Gujarat,2020,12.0,563.2682500919575,266533.6446865049,932867.7564027671,0.8
steel,Gujarat,2021,1.0,504.37861859828183,239452.91896258263,838085.2163690391,0.8400000000000001
steel,Gujarat,2021,2.0,433.83848626420314,232661.8571297421,814316.4999540973,0.8692820323027551
steel,Gujarat,2021,3.0,513.1052988646413,261169.0564241106,914091.6974843871,0.8800000000000001
steel,Gujarat,2021,4.0,496.28947958624957,235259.05631124674,823406.6970893636,0.8692820323027551
steel,Gujarat,2021,5.0,444.72441344909873,232599.36056681752,814097.7619838613,0.8400000000000001
steel,Gujarat,2021,6.0,543.2297725160969,265201.63274430623,928205.7146050718,0.8
steel,Gujarat,2021,7.0,446.9009584262957,239751.90725389938,839131.6753886478,0.7600000000000001
steel,Gujarat,2021,8.0,483.41279315920787,240668.90012317992,842341.1504311297,0.730717967697245
steel,Gujarat,2021,9.0,524.148615450438,252898.84548549296,885145.9591992253,0.7200000000000001
steel,Gujarat,2021,10.0,509.74592265623573,240244.46009608556,840855.6103362995,0.730717967697245
steel,Gujarat,2021,11.0,480.9506235339662,225845.46816724562,790459.1385853597,0.76
steel,Gujarat,2021,12.0,458.4819577432568,216997.73340225517,759492.066907893,0.8
steel,Gujarat,2022,1.0,674.5808578373369,320246.1860615404,1120861.6512153912,0.8400000000000001
steel,Gujarat,2022,2.0,622.9499921042913,320963.7110010054,1123372.9885035187,0.8692820323027551
steel,Gujarat,2022,3.0,902.4042812587408,424140.60308235366,1484492.1107882378,0.8800000000000001
steel,Gujarat,2022,4.0,889.1036889305702,435315.7121608274,1523604.9925628959,0.8692820323027551
steel,Gujarat,2022,5.0,868.7548796607209,433083.81103069393,1515793.3386074288,0.8400000000000001
steel,Gujarat,2022,6.0,883.4626087656138,405804.9841583363,1420317.444554177,0.8
steel,Gujarat,2022,7.0,712.5875642534015,388140.0965189191,1358490.337816217,0.7600000000000001
steel,Gujarat,2022,8.0,631.018370923652,349196.38052784465,1222187.3318474563,0.730717967697245
steel,Gujarat,2022,9.0,820.9907111944246,379692.69858211133,1328924.4450373896,0.7200000000000001
